location_id,location_name,Interview Required Visitors (B1/B2),"Interview Required Students/Exchange Visitors (F, M, J)","Interview Required Petition-Based Temporary Workers (H, L, O, P, Q)",Interview Waiver Visitors (B1/B2),"Interview Waiver Students/Exchange Visitors (F, M, J)","Interview Waiver Petition-Based Temporary Workers (H, L, O, P, Q)"
P142,N Djamena,65 Days,65 Days,65 Days,1 Days,1 Days,1 Days
P142,N'Djamena,65 Days,65 Days,65 Days,1 Days,1 Days,1 Days
abidjan,Abidjan,183 Days,77 Days,1 Days,1 Days,1 Days,1 Days
P2,Abu Dhabi,378 Days,295 Days,175 Days,1 Days,1 Days,1 Days
P3,Abuja,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
P4,Accra,115 Days,29 Days,30 Days,Same Day,Same Day,Same Day
adana,Adana,Closed,Closed,Closed,Closed,Closed,Closed
P5,Addis Ababa,189 Days,33 Days,189 Days,7 Days,7 Days,7 Days
P6,Algiers,156 Days,65 Days,35 Days,30 Days,30 Days,30 Days
P7,Almaty,21 Days,4 Days,4 Days,1 Days,1 Days,1 Days
P8,Amman,303 Days,103 Days,7 Days,11 Days,26 Days,26 Days
P9,Amsterdam,143 Days,3 Days,44 Days,1 Days,1 Days,1 Days
P10,Ankara,137 Days,63 Days,81 Days,7 Days,7 Days,7 Days
P11,Antananarivo,5 Days,5 Days,5 Days,5 Days,5 Days,5 Days
P225,Apia,70 Days,70 Days,70 Days,70 Days,70 Days,70 Days
P12,Ashgabat,3 Days,3 Days,3 Days,3 Days,3 Days,3 Days
P13,Asmara,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
astana,Astana,14 Days,1 Days,1 Days,Same Day,Same Day,Same Day
P15,Asuncion,211 Days,18 Days,14 Days,7 Days,1 Days,1 Days
athens,Athens,62 Days,3 Days,25 Days,3 Days,3 Days,13 Days
P17,Auckland,24 Days,23 Days,23 Days,24 Days,23 Days,23 Days
P226,Baghdad,Closed,Closed,Closed,Closed,Closed,Closed
P19,Baku,75 Days,2 Days,5 Days,1 Days,1 Days,1 Days
P20,Bamako,45 Days,7 Days,45 Days,1 Days,1 Days,1 Days
P21,Bandar Seri Begawan,7 Days,7 Days,7 Days,7 Days,7 Days,7 Days
P22,Bangkok,3 Days,22 Days,22 Days,7 Days,Same Day,Same Day
bangui,Bangui,Non-Visa Processing Post,Non-Visa Processing Post,Non-Visa Processing Post,Non-Visa Processing Post,Non-Visa Processing Post,Non-Visa Processing Post
banjul,Banjul,120 Days,120 Days,120 Days,1 Days,1 Days,1 Days
barcelona,Barcelona,Closed,Closed,Closed,Closed,Closed,Closed
P24,Beijing,2 Days,2 Days,3 Days,,,
P25,Beirut,156 Days,71 Days,66 Days,1 Days,999 Days,999 Days
P26,Belfast,83 Days,19 Days,19 Days,1 Days,1 Days,1 Days
P27,Belgrade,9 Days,2 Days,3 Days,1 Days,1 Days,1 Days
P28,Belmopan,61 Days,7 Days,7 Days,10 Days,10 Days,10 Days
P29,Berlin,80 Days,16 Days,58 Days,Same Day,Same Day,Same Day
P30,Bern,16 Days,13 Days,16 Days,3 Days,3 Days,3 Days
P31,Bishkek,219 Days,18 Days,18 Days,219 Days,1 Days,18 Days
P32,Bogota,769 Days,5 Days,6 Days,33 Days,33 Days,23 Days
P33,Brasilia,427 Days,2 Days,2 Days,20 Days,1 Days,1 Days
P34,Bratislava,18 Days,9 Days,4 Days,5 Days,5 Days,5 Days
P35,Brazzaville,80 Days,7 Days,80 Days,1 Days,1 Days,1 Days
P36,Bridgetown,21 Days,2 Days,2 Days,14 Days,14 Days,14 Days
P37,Brussels,39 Days,39 Days,39 Days,30 Days,30 Days,30 Days
P38,Bucharest,12 Days,8 Days,12 Days,5 Days,5 Days,5 Days
P39,Budapest,130 Days,40 Days,40 Days,1 Days,1 Days,1 Days
P40,Buenos Aires,140 Days,1 Days,8 Days,39 Days,39 Days,39 Days
P41,Bujumbura,3 Days,3 Days,3 Days,,,
P42,Cairo,119 Days,5 Days,5 Days,1 Days,1 Days,1 Days
P43,Calgary,153 Days,6 Days,72 Days,10 Days,10 Days,10 Days
canberra,Canberra,Non-Visa Processing Post,Non-Visa Processing Post,Non-Visa Processing Post,Non-Visa Processing Post,Non-Visa Processing Post,Non-Visa Processing Post
P44,Cape Town,52 Days,22 Days,23 Days,5 Days,5 Days,5 Days
P45,Caracas,Closed,Closed,Closed,Closed,Closed,Closed
P46,Casablanca,120 Days,9 Days,120 Days,1 Days,1 Days,1 Days
P47,Chengdu,Closed,Closed,Closed,Closed,Closed,Closed
P48,Chennai ( Madras),980 Days,37 Days,365 Days,171 Days,4 Days,298 Days
P49,Chiang Mai,27 Days,35 Days,35 Days,7 Days,7 Days,7 Days
P50,Chisinau,29 Days,7 Days,7 Days,1 Days,1 Days,1 Days
P51,Ciudad Juarez,652 Days,3 Days,2 Days,371 Days,371 Days,371 Days
P52,Colombo,30 Days,7 Days,7 Days,30 Days,60 Days,60 Days
P53,Conakry,151 Days,151 Days,14 Days,Same Day,Same Day,Same Day
P54,Copenhagen,37 Days,4 Days,52 Days,3 Days,3 Days,3 Days
P55,Cotonou,168 Days,168 Days,168 Days,168 Days,168 Days,168 Days
P223,Curacao,50 Days,21 Days,21 Days,14 Days,14 Days,14 Days
P56,Dakar,189 Days,15 Days,10 Days,1 Days,1 Days,1 Days
P57,Damascus,Closed,Closed,Closed,Closed,Closed,Closed
P58,Dar Es Salaam,92 Days,67 Days,67 Days,16 Days,67 Days,67 Days
P59,Dhahran,53 Days,11 Days,16 Days,7 Days,7 Days,7 Days
P60,Dhaka,274 Days,162 Days,6 Days,14 Days,15 Days,14 Days
P227,Dili,1 Days,1 Days,1 Days,,,
P61,Djibouti,4 Days,4 Days,4 Days,4 Days,4 Days,4 Days
P62,Doha,52 Days,36 Days,42 Days,1 Days,1 Days,1 Days
P63,Dubai,449 Days,128 Days,133 Days,1 Days,1 Days,1 Days
P64,Dublin,22 Days,14 Days,10 Days,1 Days,1 Days,1 Days
P65,Durban,85 Days,1 Days,2 Days,3 Days,3 Days,3 Days
P66,Dushanbe,53 Days,53 Days,53 Days,1 Days,1 Days,1 Days
erbil,Erbil,250 Days,11 Days,11 Days,1 Days,1 Days,1 Days
P67,Florence,9 Days,1 Days,1 Days,Same Day,Same Day,Same Day
P68,Frankfurt,67 Days,14 Days,14 Days,Same Day,Same Day,Same Day
P69,Freetown,126 Days,126 Days,126 Days,1 Days,1 Days,1 Days
fukuoka,Fukuoka,30 Days,21 Days,21 Days,,,
P70,Gaborone,14 Days,14 Days,14 Days,1 Days,1 Days,1 Days
P71,Georgetown,92 Days,1 Days,1 Days,1 Days,1 Days,1 Days
P72,Guadalajara,814 Days,7 Days,8 Days,262 Days,262 Days,262 Days
P73,Guangzhou,31 Days,2 Days,31 Days,Same Day,Same Day,Same Day
P74,Guatemala City,183 Days,3 Days,3 Days,4 Days,1 Days,3 Days
P75,Guayaquil,189 Days,68 Days,42 Days,32 Days,32 Days,32 Days
P76,Halifax,201 Days,8 Days,80 Days,10 Days,10 Days,10 Days
P77,Hamilton,120 Days,15 Days,60 Days,,,
P78,Hanoi,14 Days,3 Days,23 Days,7 Days,7 Days,7 Days
P79,Harare,3 Days,3 Days,3 Days,3 Days,3 Days,3 Days
P80,Havana,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
P81,Helsinki,65 Days,45 Days,64 Days,1 Days,1 Days,1 Days
P82,Hermosillo,577 Days,1 Days,16 Days,169 Days,2 Days,2 Days
P83,Ho Chi Minh City,14 Days,14 Days,7 Days,5 Days,5 Days,5 Days
P84,Hong Kong,2 Days,2 Days,4 Days,1 Days,1 Days,1 Days
P85,Hyderabad,999 Days,37 Days,367 Days,232 Days,71 Days,309 Days
P86,Islamabad,323 Days,2 Days,2 Days,5 Days,5 Days,5 Days
P87,Istanbul,305 Days,226 Days,64 Days,Same Day,Same Day,Same Day
P88,Jakarta,16 Days,7 Days,2 Days,1 Days,1 Days,1 Days
P89,Jeddah,57 Days,15 Days,1 Days,2 Days,2 Days,2 Days
P90,Jerusalem,219 Days,53 Days,1 Days,Same Day,46 Days,1 Days
P91,Johannesburg,7 Days,7 Days,7 Days,8 Days,1 Days,1 Days
P228,Juba,Closed,Closed,Closed,Closed,Closed,Closed
P229,Kabul,Closed,Closed,Closed,Closed,Closed,Closed
P93,Kampala,210 Days,30 Days,210 Days,1 Days,1 Days,1 Days
kaohsiung,Kaohsiung,Closed,Closed,Closed,Closed,Closed,Closed
P94,Karachi,323 Days,17 Days,22 Days,7 Days,3 Days,3 Days
P95,Kathmandu,477 Days,253 Days,7 Days,7 Days,7 Days,7 Days
P96,Khartoum,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
P97,Kigali,78 Days,18 Days,6 Days,1 Days,1 Days,1 Days
P98,Kingston,72 Days,1 Days,51 Days,7 Days,999 Days,3 Days
P99,Kinshasa,98 Days,58 Days,7 Days,Same Day,Same Day,Same Day
P100,Kolkata,900 Days,37 Days,345 Days,178 Days,37 Days,291 Days
